Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec
1924-10-15,1924-10-26,100.0,1.1113312449457775,111.13312449457777,0.9990000000000001,1924,10,15,1924.1,1924,1,15,3,0.00960190195633152,1.0,5,Dry,24,4,2,2,20,52,0.46790729799500147,59.13312449457777,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,2.0,20.0,89.13312449457777,1,59.13312449457777,,,,964.4976330238434,990.0,0.07027265607769696,0.0,989.9297273439223,0.023789102766937763,,,,25.408305217311995,,,,0.8,,,,0.23653249797831108,,,,0.96,,,,11.319747829055391,,,,11.319747829055391,271.6739478973294,0.10185755039765561
1924-11-15,1924-11-26,133.0,1.0866867448966866,144.5293370712593,0.996,1924,11,15,1924.11,1924,2,46,7,0.012487334722956805,0.99,5,Dry,23,4,2,2,19,50,0.3459505247391248,94.5293370712593,0.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,2.0,2.0,19.0,123.5293370712593,1,94.5293370712593,,,,964.4955425979724,990.0,0.0819986376379293,0.0,989.918001362362,0.06275928792447118,,,,25.35969947646513,,,,0.88,,,,0.37811734828503724,,,,0.96,,,,19.86706110106895,,,,19.86706110106895,476.80946642565476,0.13746040425878114
1924-12-15,1924-12-26,283.0,0.9399022520020778,265.99233731658796,0.845,1924,12,15,1924.12,1924,3,76,11,0.0229817379441532,0.94,5,Dry,26,4,3,2,24,59,0.22181090100267564,206.99233731658796,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,3.0,2.0,24.0,239.99233731658796,1,206.99233731658796,,,,964.7938200228091,990.0,0.12165797180255689,0.011398467463317593,989.8669435607342,0.30331113993731185,,,,24.769812397987774,,,,0.94,,,,0.8279693492663519,,,,0.97,,,,45.8612176203527,,,,45.8612176203527,1100.6692228884647,0.17241555934661384
1925-01-15,1925-01-26,679.0,0.8734205957235223,593.0525844962716,0.485,1925,1,15,1925.01,1924,4,107,16,0.05123974330047786,0.64,3,Normal,41,6,4,3,66,120,0.20234293406195317,473.0525844962716,0.0,0.0,0.0,0.0,0.0,0.0,41.0,6.0,4.0,3.0,66.0,524.0525844962716,2,236.5262922481358,236.5262922481358,,,966.1126052670161,990.0,0.2204652663746502,0.06461051689925433,989.7149242167261,0.3959225574764903,0.3959225574764903,,,23.206396392233536,23.206396392233536,,,0.94,0.94,,,0.9461051689925433,0.9461051689925433,,,0.98,0.98,,,49.6032425131371,49.6032425131371,,,99.2064850262742,2380.9556406305805,0.1672810938182462
1925-02-15,1925-02-26,1248.0,0.9158503210093027,1142.98120061961,0.28800000000000003,1925,2,15,1925.02,1924,5,138,20,0.09875357573353427,0.23,2,Mod_Wet,49,8,7,5,93,162,0.14173461463073916,980.98120061961,0.0,0.0,0.0,0.0,0.0,0.0,49.0,8.0,7.0,5.0,93.0,1044.98120061961,4,245.2453001549025,245.2453001549025,245.2453001549025,245.2453001549025,968.3698641406031,990.0,0.6172924545025299,0.334784960495688,989.0479225850019,0.42560464626288697,0.42560464626288697,0.42560464626288697,0.42560464626288697,20.252453798135857,20.252453798135857,20.252453798135857,20.252453798135857,0.94,0.94,0.94,0.94,0.98098120061961,0.98098120061961,0.98098120061961,0.98098120061961,0.98,0.98,0.98,0.98,44.8850052315311,44.8850052315311,44.8850052315311,44.8850052315311,179.5400209261244,4308.960502226986,0.1570804671404882
1925-03-15,1925-03-26,1547.0,0.95192381375,1472.6261398712506,0.235,1925,3,15,1925.03,1924,6,166,24,0.12723489848487604,0.62,3,Normal,49,9,9,9,107,183,0.12426779278547874,1100.0,189.62613987125064,50.77421231525291,9.0,9.325875731372982,9.325875731372982,111.20017609325177,99.77421231525291,18.0,18.32587573137298,18.32587573137298,218.20017609325177,1236.1000880466258,4,275.0,275.0,275.0,275.0,969.525536917651,990.0,0.9038690834009858,0.48,988.616130916599,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,18.55565921894795,18.55565921894795,18.55565921894795,18.55565921894795,0.9319260122959672,0.9319260122959672,0.9319260122959672,0.9319260122959672,1.1,1.1,1.1,1.1,0.98,0.98,0.98,0.98,45.717829006991806,45.717829006991806,45.717829006991806,45.717829006991806,182.87131602796723,4388.911584671214,0.12418040877907774
1925-04-15,1925-04-26,2939.0,1.0221756241859434,3004.174159482488,0.08600000000000001,1925,4,15,1925.04,1924,7,197,29,0.259560647379287,0.43,3,Normal,54,13,14,19,117,217,0.0722328295498625,1100.0,1687.174159482488,46.0,5.0,11.0,61.0,1564.174159482488,100.0,18.0,25.0,80.0,1681.174159482488,1243.0,4,275.0,275.0,275.0,275.0,973.625544565659,990.0,0.921967213114754,0.48,988.5980327868853,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,14.437553441226285,14.437553441226285,14.437553441226285,14.437553441226285,0.9030573453768876,0.9030573453768876,0.9030573453768876,0.9030573453768876,1.1,1.1,1.1,1.1,0.98,0.98,0.98,0.98,34.469637104045994,34.469637104045994,34.469637104045994,34.469637104045994,137.87854841618397,3309.085161988415,0.04589565754068517
1925-05-15,1925-05-26,2193.0,1.0051838044966,2204.3680832610435,0.154,1925,5,15,1925.05,1924,8,227,33,0.1904574023937542,0.43,3,Normal,55,13,13,17,178,276,0.12520594999347748,1100.0,828.3680832610435,45.0,5.0,12.0,51.02267179506428,715.3454114659792,100.0,18.0,25.0,68.02267179506427,893.3454114659792,1243.0,4,275.0,275.0,275.0,275.0,971.6915425866631,990.0,0.921967213114754,0.48,988.5980327868853,0.5349347799999999,0.5349347799999999,0.5349347799999999,0.5349347799999999,16.37155542022215,16.37155542022215,16.37155542022215,16.37155542022215,0.9229511409264436,0.9229511409264436,0.9229511409264436,0.9229511409264436,1.1,1.1,1.1,1.1,0.98,0.98,0.98,0.98,39.94812779325898,39.94812779325898,39.94812779325898,39.94812779325898,159.79251117303593,3835.0202681528626,0.07248903320022945
1925-06-15,1925-06-26,1248.0,0.9158503210093027,1142.98120061961,0.28800000000000003,1925,6,15,1925.06,1924,9,258,37,0.09875357573353427,0.54,3,Normal,53,12,12,13,120,210,0.18373005600281003,932.98120061961,0.0,0.0,0.0,0.0,0.0,0.0,53.0,12.0,12.0,13.0,120.0,1009.98120061961,4,233.2453001549025,233.2453001549025,233.2453001549025,233.2453001549025,968.3698641406031,990.0,0.5789070762649813,0.296384960495688,989.1247079632393,0.38502947809278903,0.38502947809278903,0.38502947809278903,0.38502947809278903,20.3698143445434,20.3698143445434,20.3698143445434,20.3698143445434,0.94,0.94,0.94,0.94,0.93298120061961,0.93298120061961,0.93298120061961,0.93298120061961,0.98,0.98,0.98,0.98,42.9361311635101,42.9361311635101,42.9361311635101,42.9361311635101,171.7445246540404,4121.86859169697,0.15026014825172776
1925-07-15,1925-07-26,565.0,0.8800677407496005,497.2382735235243,0.551,1925,7,15,1925.07,1924,10,288,42,0.042961386832432495,0.49,3,Normal,50,10,9,9,108,186,0.3740661367073956,311.2382735235243,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,9.0,9.0,108.0,380.2382735235243,2,155.61913676176215,155.61913676176215,,,965.6870050792203,990.0,0.1682341129782922,0.03224765470470486,989.7995182323169,0.17139541838417857,0.17139541838417857,,,23.941117734712464,23.941117734712464,,,0.92,0.92,,,0.6224765470470486,0.6224765470470486,,,0.97,0.97,,,32.61639764949934,32.61639764949934,,,65.23279529899868,1565.5870871759685,0.1311902135705419
