Date,LaggedDate,VicFalls,Conversion,Flow,Exceedance,Year,Month,Day,MonthId,WaterYear,WaterMonth,WaterDay,WaterWeek,Volume,Flow_difference,EWRRefExceedance,EWRBandNo,EWRBandLabel,EWRChannelA,EWRChannelC,EWRChannelD,EWRChannelE,EWRChannelFG,EWRTotal,EWRProportion,FlowCanal,FlowSpill,SpillChannelA,SpillChannelC,SpillChannelD,SpillChannelE,SpillChannelFG,FlowChannelA,FlowChannelC,FlowChannelD,FlowChannelE,FlowChannelFG,FlowLeftChannel,Turbines,FlowTurbine1,FlowTurbine2,FlowTurbine3,FlowTurbine4,LevelTailwater,LevelHeadpond,HeadlossLeftChannel,HeadlossCanal,LevelForebay,HeadlossTurbine1,HeadlossTurbine2,HeadlossTurbine3,HeadlossTurbine4,HeadTurbine1,HeadTurbine2,HeadTurbine3,HeadTurbine4,EffTurbine1,EffTurbine2,EffTurbine3,EffTurbine4,LoadFactorTurbine1,LoadFactorTurbine2,LoadFactorTurbine3,LoadFactorTurbine4,EffGen1,EffGen2,EffGen3,EffGen4,PowerTurbine1,PowerTurbine2,PowerTurbine3,PowerTurbine4,Power,Energy,PerfMwPerCumec,ExceedanceRnd
1929-10-01,1929-10-12,197.3191,0.9892995851469644,195.20770377157245,0.963,1929,10,1,1929.1,1929,1,1,1,0.01686594560586386,0.0,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3739606510889699,122.20770377157244,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,160.20770377157243,1,122.20770377157244,,,,964.407469860292,990.0,0.09450262628576334,0.0022207703771572455,989.9032766033373,0.10548787797102044,,,,25.390318865074,,,,0.91,,,,0.4888308150862898,,,,0.97,,,,26.86883726373888,,,,26.86883726373888,644.8520943297332,0.13764229968700506,0.965
1929-10-02,1929-10-13,197.3191,0.9892995851469644,195.20770377157245,0.963,1929,10,2,1929.1,1929,1,2,1,0.01686594560586386,0.0,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3739606510889699,122.20770377157244,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,160.20770377157243,1,122.20770377157244,,,,964.407469860292,990.0,0.09450262628576334,0.0022207703771572455,989.9032766033373,0.10548787797102044,,,,25.390318865074,,,,0.91,,,,0.4888308150862898,,,,0.97,,,,26.86883726373888,,,,26.86883726373888,644.8520943297332,0.13764229968700506,0.965
1929-10-03,1929-10-14,194.4177,1.0019441346365396,194.7956741845264,0.965,1929,10,3,1929.1,1929,1,3,1,0.016830346249543084,0.4120295870460211,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3747516483905512,121.7956741845264,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,159.7956741845264,1,121.7956741845264,,,,964.4084080863472,990.0,0.0943621616538158,0.0021795674184526405,989.9034582709276,0.10477293918279199,,,,25.39027724539756,,,,0.91,,,,0.4871826967381056,,,,0.97,,,,26.778203695981606,,,,26.778203695981606,642.6768887035587,0.13746816405489118,0.965
1929-10-04,1929-10-15,191.5433,1.0070581277156851,192.89523707448373,0.97,1929,10,4,1929.1,1929,1,4,1,0.01666614848323539,1.9004371100426736,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3784437661973587,119.89523707448372,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,157.89523707448373,1,119.89523707448372,,,,964.4127022686228,990.0,0.09371428536630128,0.0019895237074483733,989.9042961909262,0.10150622044676756,,,,25.390087701856647,,,,0.9,,,,0.4795809482979349,,,,0.97,,,,26.07050134400107,,,,26.07050134400107,625.6920322560256,0.13515368103119269,0.97
1929-10-05,1929-10-16,191.5433,1.0070581277156851,192.89523707448373,0.97,1929,10,5,1929.1,1929,1,5,1,0.01666614848323539,0.0,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3784437661973587,119.89523707448372,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,157.89523707448373,1,119.89523707448372,,,,964.4127022686228,990.0,0.09371428536630128,0.0019895237074483733,989.9042961909262,0.10150622044676756,,,,25.390087701856647,,,,0.9,,,,0.4795809482979349,,,,0.97,,,,26.07050134400107,,,,26.07050134400107,625.6920322560256,0.13515368103119269,0.97
1929-10-06,1929-10-17,191.5433,1.0070581277156851,192.89523707448373,0.97,1929,10,6,1929.1,1929,1,6,1,0.01666614848323539,0.0,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3784437661973587,119.89523707448372,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,157.89523707448373,1,119.89523707448372,,,,964.4127022686228,990.0,0.09371428536630128,0.0019895237074483733,989.9042961909262,0.10150622044676756,,,,25.390087701856647,,,,0.9,,,,0.4795809482979349,,,,0.97,,,,26.07050134400107,,,,26.07050134400107,625.6920322560256,0.13515368103119269,0.97
1929-10-07,1929-10-18,188.6959,1.0242652879741163,193.27466035303507,0.968,1929,10,7,1929.1,1929,1,7,1,0.01669893065450223,0.37942327855134295,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3777008318972511,120.27466035303509,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,158.27466035303507,1,120.27466035303509,,,,964.4118493571519,990.0,0.09384363421126196,0.0020274660353035074,989.9041288997536,0.10215437127918496,,,,25.390125171322342,,,,0.9,,,,0.4810986414121403,,,,0.97,,,,26.153043259197542,,,,26.153043259197542,627.6730382207409,0.135315427337585,0.97
1929-10-08,1929-10-19,180.3141,1.0466171465371623,188.71982882241662,0.976,1929,10,8,1929.1,1929,1,8,2,0.016305393210256796,4.554831530618458,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3868167985076557,115.71982882241663,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,153.71982882241662,1,115.71982882241663,,,,964.4219365524943,990.0,0.09229085073491476,0.0015719828822416614,989.9061371663828,0.0945070764440666,,,,25.389693537444266,,,,0.9,,,,0.4628793152896665,,,,0.97,,,,25.162193190245805,,,,25.162193190245805,603.8926365658994,0.1333309453874249,0.975
1929-10-09,1929-10-20,183.0814,1.0336364301739838,189.23960472725517,0.975,1929,10,9,1929.1,1929,1,9,2,0.016350301848434848,0.5197759048385535,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.385754346217392,116.23960472725516,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,154.23960472725514,1,116.23960472725516,,,,964.4208025780417,990.0,0.09246804706610973,0.001623960472725517,989.9059079924613,0.09536502646541133,,,,25.38974038795424,,,,0.9,,,,0.4649584189090207,,,,0.97,,,,25.275260232896123,,,,25.275260232896123,606.6062455895068,0.13356221214541492,0.975
1929-10-10,1929-10-21,180.3141,1.0466171465371623,188.71982882241662,0.976,1929,10,10,1929.1,1929,1,10,2,0.016305393210256796,0.5197759048385535,0.88,4,Mod_Dry,31,4,3,2,33,73.0,0.3868167985076557,115.71982882241663,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,3.0,2.0,33.0,153.71982882241662,1,115.71982882241663,,,,964.4219365524943,990.0,0.09229085073491476,0.0015719828822416614,989.9061371663828,0.0945070764440666,,,,25.389693537444266,,,,0.9,,,,0.4628793152896665,,,,0.97,,,,25.162193190245805,,,,25.162193190245805,603.8926365658994,0.1333309453874249,0.975
