ExceedanceRnd,EWRTotal,FlowSpill,FlowAvailableForGeneration,FlowCanal,Power,Energy,LevelHeadpond,LevelTailwater,HeadTurbine1,Flow,Exceedance,GenerationVol,MaxGenerationFlow,MaxFlowFromStore,MaxVolFromStore,MaxVolToStore,StoreVol,PeakStoreFlow,OffpeakStoreFlow,OffpeakFlowCanal,PeakFlowCanal,PeakVol,OffpeakVol,PeakEnergy,OffpeakEnergy,EnergyTransfer,EnergyTransferProp,PeakPower,OffpeakPower,HeadpondDrop,PeakTailwaterFlow,OffpeakTailwaterFlow,PeakTailwaterLevel,OffpeakTailwaterLevel,TailwaterDrop
0.0,276.63235294117646,8588.543600025814,8588.543600025814,0.0,0.0,0.0,990.5276422287125,981.7643863364171,6.82635389918011,8865.17595296699,0.001411764705882354,0.0,1100.0,1100.0,11.879999999999997,274.2188126408364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,8865.17595296699,8865.17595296699,981.7643863364171,981.7643863364171,0.0
0.005,324.51724137931035,6154.272847717582,6154.272847717582,0.0,0.0,0.0,990.1282092954167,979.4843504475292,8.706956854773324,6478.790089096893,0.00498850574712644,0.0,1100.0,1100.0,11.880000000000052,195.34844026604986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,6478.790089096893,6478.790089096893,979.4843504475292,979.4843504475292,0.0
0.01,321.1656804733728,4741.890221884257,5223.5470266179855,481.6568047337278,38.47113052576644,923.3071326183943,990.050823956075,978.1489154858583,9.96500647710247,5544.712707091359,0.0100473372781065,41.61514792899407,1100.0,618.3431952662722,6.678106508875743,165.19292366242257,0.0,0.0,0.0,481.6568047337278,481.6568047337278,10.403786982248517,31.211360946745568,527.1584642314481,1581.475392694344,0.0,0.0,87.8597440385747,87.8597440385747,0.0,5544.712707091359,5544.712707091359,978.1489154858585,978.1489154858585,0.0
0.015,305.94767441860466,3785.016337998179,4885.016337998177,1100.0,91.54833804300591,2197.160113032143,990.0220617109582,977.618190681106,10.466969036737755,5190.96401241678,0.01495348837209299,95.04000000000042,1100.0,0.0,0.0,154.2245293511409,0.0,0.0,0.0,1100.0,1100.0,23.760000000000105,71.28000000000017,549.2900282580357,1647.8700847741052,0.0,0.0,91.54833804300591,91.54833804300591,0.0,5190.96401241678,5190.96401241678,977.6181906811056,977.6181906811056,0.0
0.02,302.5232558139535,3375.069914800552,4475.069914800553,1100.0,98.867100506941,2372.810412166583,990.0,976.9641953923117,11.098902614574543,4777.593170614507,0.020075581395348815,95.04000000000042,1100.0,0.0,0.0,140.942265239538,0.0,0.0,0.0,1100.0,1100.0,23.760000000000105,71.28000000000017,593.2026030416457,1779.6078091249385,0.0,0.0,98.867100506941,98.867100506941,0.0,4777.593170614507,4777.593170614507,976.9641953923114,976.9641953923114,0.0
0.025,283.1058823529412,3105.5861320696736,4205.586132069675,1100.0,104.44286396582336,2506.6287351797646,990.0,976.4857998306688,11.577298176216143,4488.692014422615,0.025111764705882327,95.04000000000042,1100.0,0.0,0.0,132.21099067905752,0.0,0.0,0.0,1100.0,1100.0,23.760000000000105,71.28000000000016,626.6571837949411,1879.971551384822,0.0,0.0,104.44286396582339,104.44286396582336,0.0,4488.692014422616,4488.692014422616,976.4857998306688,976.4857998306688,0.0
0.03,285.3878787878788,2923.0960092753985,4023.0960092753976,1100.0,108.074453639896,2593.786887357505,990.0,976.175404232633,11.887693774252517,4308.483888063276,0.02995151515151512,95.0400000000004,1100.0,0.0,0.0,126.29831070052286,0.0,0.0,0.0,1100.0,1100.0,23.7600000000001,71.28000000000014,648.4467218393762,1945.3401655181276,0.0,0.0,108.074453639896,108.074453639896,0.0,4308.48388806328,4308.48388806328,976.175404232633,976.175404232633,0.0
0.035,290.5780346820809,2682.4449865167667,3782.4449865167685,1100.0,112.97977932775069,2711.514703866019,990.0,975.7568870952141,12.30621091166959,4073.0230211988496,0.03502312138728321,95.0400000000004,1100.0,0.0,0.0,118.5012175631432,0.0,0.0,0.0,1100.0,1100.0,23.7600000000001,71.28000000000017,677.8786759665047,2033.6360278995141,0.0,0.0,112.97977932775069,112.97977932775069,0.0,4073.0230211988496,4073.0230211988496,975.7568870952141,975.7568870952141,0.0
0.04,283.9230769230769,2536.3449875211872,3636.3449875211904,1100.0,116.26423382535458,2790.34161180851,990.0,975.4768973273009,12.586200679584273,3920.268064444269,0.04001775147928993,95.0400000000004,1100.0,0.0,0.0,113.7675775956865,0.0,0.0,0.0,1100.0,1100.0,23.7600000000001,71.28000000000016,697.5854029521275,2092.756208856384,0.0,0.0,116.26423382535458,116.26423382535458,0.0,3920.268064444269,3920.268064444269,975.4768973273009,975.4768973273009,0.0
0.045,281.4689265536723,2417.578363179719,3517.5783631797217,1100.0,118.93362588673207,2854.407021281566,990.0,975.2493394132492,12.813758593637395,3799.047289733395,0.04509039548022597,95.04000000000042,1100.0,0.0,0.0,109.91953896702296,0.0,0.0,0.0,1100.0,1100.0,23.760000000000105,71.28000000000019,713.6017553203915,2140.805265961176,0.0,0.0,118.93362588673206,118.93362588673203,0.0,3799.047289733395,3799.047289733395,975.2493394132492,975.2493394132492,0.0
0.05,281.0989010989011,2252.67258539473,3352.672585394732,1100.0,122.66521388899088,2943.9651333357797,990.0,974.9310198692673,13.132078137617295,3633.771486493632,0.05028571428571424,95.04000000000043,1100.0,0.0,0.0,104.57659176678936,0.0,0.0,0.0,1100.0,1100.0,23.760000000000108,71.2800000000002,735.9912833339449,2207.973850001834,0.0,0.0,122.66521388899075,122.66521388899075,0.0,3633.771486493632,3633.771486493632,974.9310198692673,974.9310198692673,0.0
0.055,275.74375,2140.460505555779,3240.460505555776,1100.0,125.37973747497844,3009.1136993994796,990.0,974.6991988953484,13.36389911153719,3516.204255555778,0.05531249999999999,95.04000000000039,1100.0,0.0,0.0,100.94092038000723,0.0,0.0,0.0,1100.0,1100.0,23.760000000000097,71.28000000000013,752.2784248498699,2256.835274549613,0.0,0.0,125.37973747497844,125.37973747497844,0.0,3516.204255555778,3516.204255555778,974.6991988953484,974.6991988953484,0.0
