SimNo,StartDate,Mean_2023_2040,Mean_2023_2052,Energy_mean,Energy_median,Energy_mean_2023_2040,Energy_mean_2023_2052,Energy_mean_2025_2042,Energy_mean_2025_2049
1,1933-10-01,935.332431855751,1006.0736763564634,771.3576736205003,772.7246747037964,758.6260485075078,771.1507674233395,751.1269430592662,766.2334869427696
2,1934-10-01,977.1337961493961,1010.6488089051344,778.0747972952992,776.2211960488532,753.5862909758503,775.7035278039903,756.8256879424005,772.0585617347743
3,1935-10-01,984.6159939454407,1015.168523740942,780.8905008514154,777.8738586320424,755.7714213255973,778.4904530910879,761.1233191564619,778.0100339451336
4,1936-10-01,1007.8418210853064,1021.4737123968653,782.6999228706035,782.3032100328643,761.6120608159492,782.592463143959,766.1242939667834,778.8575408795227
5,1937-10-01,1044.6258402245944,1022.3782986641116,776.385031517726,779.9589729824513,763.7188494740548,777.2002005142126,772.1642085225438,784.2107629538676
6,1938-10-01,1080.2702145348783,1028.6294857343803,780.9539507984607,783.5735130651561,768.7015415838058,781.3401370379944,781.0226829416308,788.5331643585657
7,1939-10-01,1129.1333699024597,1044.3615664853498,785.1177058053232,795.2265065464832,777.6753171426686,786.826931470533,785.461183381068,791.1165775530992
8,1940-10-01,1146.9915517721076,1068.1896256812677,784.4628139947894,789.5919985191368,785.0613357096115,787.4815426893316,785.8674346209026,784.691238264365
9,1941-10-01,1136.6104781348406,1066.5572472131178,788.5850866918837,791.9427425584408,789.4614491286602,792.8652442035789,804.0005607675571,801.5119065422879
10,1942-10-01,1114.0671183561055,1069.203925090557,798.677386739357,805.6141588899258,795.2253014161302,801.5874651763093,815.1402701090803,810.178987870254
11,1943-10-01,1140.4391361196265,1097.6644785889844,807.1304910751669,814.3985261235314,813.4636189286315,818.3226961511266,816.0443012559444,813.982778343569
12,1944-10-01,1161.310385786031,1096.4552822771022,813.368896998004,817.6213619114352,821.6269667613258,827.7658783955625,823.1042609743889,818.5368768071597
13,1945-10-01,1201.3183874143429,1095.639863196601,817.7406533513173,822.9760735360459,820.3426406139839,830.6605087834266,829.4034366589098,825.1279886472747
14,1946-10-01,1198.5536109780544,1070.9288275593642,812.8551337293845,827.2257258700196,826.3321382217689,824.3379307804557,828.8764690310792,829.1501241626852
15,1947-10-01,1181.3552913093156,1049.70044249027,807.9988035734426,824.996800764332,831.344709833055,818.4484450288516,814.9350545932411,831.5404792381694
16,1948-10-01,1169.5221388905004,1040.0985341784092,802.8174157101993,822.9655755660929,828.0816851071376,810.5252943751846,815.716143193137,829.2338441034545
17,1949-10-01,1140.2220141829198,1027.0399323615538,809.4337347933738,823.8623572432061,815.943068931821,807.2418150806465,822.6443001096038,825.7399233649268
18,1950-10-01,1111.0707790591134,1000.8619201705493,807.7601466758741,827.1822100497917,817.8654846727117,801.3698469896693,827.7689147447734,822.8811194047629
19,1951-10-01,1113.7954108773517,982.6884152789627,806.7210405406993,825.5930818337072,822.2751991569362,802.6305147641101,827.7603257019555,815.0309806640097
20,1952-10-01,1076.2258937947304,940.582468257905,803.769634841059,815.9561059895025,827.6207654924782,803.4311417354993,834.0877435652227,813.271305781145
21,1953-10-01,1078.6639989748687,946.2661255602477,805.3757038137433,816.0293225075934,829.0518342721163,802.8776111440459,841.6924506348167,808.9292991412906
22,1954-10-01,1111.3994023142232,932.4323817272136,796.131335261466,809.262752446486,835.0319382317704,794.4672021139949,845.4443754119937,803.9884949628077
23,1955-10-01,1111.3978110652467,914.5204181151587,790.3302671796448,806.6662558636559,841.1042819448588,790.5379609996971,844.6061375954657,798.2644691250234
24,1956-10-01,1092.1000615598475,882.4268346542163,778.1785838871091,799.5366498909815,842.7979526343886,775.4338519511864,824.7213720390795,791.0478799376233
25,1957-10-01,1048.1727334530199,848.9597167186419,776.3183328368423,800.4311758014104,843.3674666105541,769.4254563198566,814.2341211492752,779.4461300154547
26,1958-10-01,1031.0688215772486,838.7893622121562,770.9582840026417,798.0824632927074,825.0303675226087,755.6255501231141,807.414921080518,774.8556120181311
27,1959-10-01,1017.150813139454,826.156365676866,756.3874445481991,796.021365230865,815.0603260388267,739.680556739148,801.2806907529916,760.3890902671072
28,1960-10-01,993.73487949669,805.4594869859703,742.6890718651275,796.3934390419805,805.6773250086177,722.2813184178133,787.8039476473255,750.8914098306499
